mitigation,tRH,trace,ipc_0,ipc_1,ipc_2,ipc_3,VRR,RFM,RRS_reswap,RRS_unswap,RRS_swap,AQUA_migrate,AQUA_r_migrate,total_energy,insn_0,insn_1,insn_2,insn_3
Chronus,1024,Mix43,0.8175396675352344,0.815401553909095,1.7658971222605262,1.7758932374218415,0,0,0,0,0,0,0,4175189.204282582,100000001,100000001,100000001,100000003
Chronus,512,Mix43,0.8175396675352344,0.815401553909095,1.7658971222605262,1.7758932374218415,0,0,0,0,0,0,0,4175189.204282582,100000001,100000001,100000001,100000003
Chronus,256,Mix43,0.8173057177285329,0.8168548338045959,1.7622567777276121,1.773452278537626,0,0,0,0,0,0,0,4164803.4053442567,100000001,100000001,100000001,100000003
Chronus,128,Mix43,0.8161255120718265,0.8162671478441736,1.7638293390712818,1.7724657591086879,0,0,0,0,0,0,0,4169976.895659744,100000001,100000001,100000001,100000003
Chronus,64,Mix43,0.8120600020410316,0.8117750123688128,1.7570258058418682,1.7686823702309824,0,0,0,0,0,0,0,4183879.476106507,100000001,100000001,100000001,100000003
Chronus,32,Mix43,0.7888198808228849,0.7887849064432092,1.7199870264819863,1.7239944156374565,0,0,0,0,0,0,0,4241849.176020675,100000001,100000001,100000001,100000003
Chronus,20,Mix43,0.7553568414832547,0.7574183713187479,1.677202534212751,1.664699652067795,0,0,0,0,0,0,0,4373852.503365307,100000001,100000001,100000001,100000003
Chronus+PB,1024,Mix43,0.8175396675352344,0.815401553909095,1.7658971222605262,1.7758932374218415,0,0,0,0,0,0,0,4175189.204282582,100000001,100000001,100000001,100000003
Chronus+PB,512,Mix43,0.8178666450946163,0.815762663644538,1.7658971222605262,1.7758932374218415,0,0,0,0,0,0,0,4178468.381341482,100000001,100000001,100000001,100000003
Chronus+PB,256,Mix43,0.8164225767292299,0.8166352135534136,1.7604445058956935,1.7714051185316213,0,0,0,0,0,0,0,4164883.8707873253,100000001,100000001,100000001,100000003
Chronus+PB,128,Mix43,0.8139796328297453,0.8127781418211039,1.759980992909459,1.7690516731663688,0,0,0,0,0,0,0,4184385.803504063,100000001,100000001,100000001,100000003
Chronus+PB,64,Mix43,0.7879065857006505,0.7877205722937992,1.7199784177110304,1.723647605014994,0,0,0,0,0,0,0,4251746.031926107,100000000,100000001,100000001,100000003
Chronus+PB,32,Mix43,0.6227156633543611,0.6223187652971786,1.4355035098132238,1.3994952188836347,0,0,0,0,0,0,0,4892015.2196493745,100000001,100000001,100000001,100000003
Chronus+PB,20,Mix43,0.0852471512535646,0.08519149658768105,0.38002665286501086,0.2426768660191134,0,0,0,0,0,0,0,23905026.62142847,100000001,100000001,100000001,100000003
Graphene,1024,Mix43,0.8174418497623313,0.8153637705473095,1.7658971222605262,1.7758932374218415,5,0,0,0,0,0,0,3775579.5515000005,100000001,100000001,100000001,100000003
Graphene,512,Mix43,0.8154086947794739,0.813819450038888,1.7598965891814125,1.7698669819342425,626,0,0,0,0,0,0,3776463.5258125006,100000001,100000001,100000001,100000003
Graphene,256,Mix43,0.8131644178347415,0.8121907309708384,1.7503903020256426,1.7638871803682186,1706,0,0,0,0,0,0,3788214.942125,100000001,100000001,100000001,100000003
Graphene,128,Mix43,0.778010996080544,0.7792399522678131,1.714208190445511,1.722790196462681,13634,0,0,0,0,0,0,3924880.4892500006,100000001,100000001,100000001,100000003
Graphene,64,Mix43,0.7380599048831202,0.7371058716135689,1.6732500298005828,1.661310016338485,33810,0,0,0,0,0,0,4109281.130000001,100000000,100000001,100000001,100000003
Graphene,32,Mix43,0.6681130132926828,0.6660941742718024,1.5729410508573678,1.556283738965968,75347,0,0,0,0,0,0,4460406.4129375,100000001,100000001,100000001,100000003
Graphene,20,Mix43,0.5647158960944221,0.5646537867972236,1.4416189801938422,1.3801880906471626,151172,0,0,0,0,0,0,5138143.4638125,100000001,100000001,100000001,100000003
Hydra,1024,Mix43,0.813154525859074,0.8148032424964342,1.7731451111446355,1.775472494496346,48,0,0,0,0,0,0,3781174.5215625004,100000001,100000001,100000001,100000003
Hydra,512,Mix43,0.8066248957044103,0.8081565118555872,1.7572285925760642,1.7620666807244343,918,0,0,0,0,0,0,3802938.489375001,100000001,100000001,100000001,100000003
Hydra,256,Mix43,0.7672685819577761,0.7686333832324996,1.7372952037345175,1.7351486677936687,4875,0,0,0,0,0,0,3981050.3642500006,100000001,100000001,100000001,100000003
Hydra,128,Mix43,0.6876408137951143,0.6868788576017786,1.6469694773737689,1.624787942838987,19327,0,0,0,0,0,0,4373049.4036875,100000001,100000001,100000001,100000003
Hydra,64,Mix43,0.6059434373499665,0.6053078549413395,1.5587134136453138,1.5100155173719956,53706,0,0,0,0,0,0,4877195.440875,100000001,100000001,100000001,100000003
Hydra,32,Mix43,0.48252713528714003,0.48197073067933227,1.3844317248396565,1.2792962248826665,130033,0,0,0,0,0,0,5961606.1593125,100000001,100000001,100000001,100000003
Hydra,20,Mix43,0.3892591740533103,0.3889038809172906,1.239847997612648,1.0808825933580697,238018,0,0,0,0,0,0,7228992.4620625,100000001,100000001,100000001,100000003
PARA,1024,Mix43,0.6772935423196609,0.6770946257199022,1.6344923551197432,1.584981699722595,65735,0,0,0,0,0,0,4407652.839,100000000,100000001,100000001,100000003
PARA,512,Mix43,0.5887033330015794,0.5869330061408804,1.5370661578936746,1.4394989547654453,130801,0,0,0,0,0,0,4995356.930875,100000001,100000001,100000001,100000003
PARA,256,Mix43,0.47313487454651504,0.47305427080061474,1.388789565746339,1.234093482652552,257268,0,0,0,0,0,0,6031128.055375,100000001,100000001,100000001,100000003
PARA,128,Mix43,0.35589211980366414,0.3564467634680539,1.154333498349153,0.9929220349201733,500738,0,0,0,0,0,0,7790910.0199375,100000001,100000001,100000001,100000003
PARA,64,Mix43,0.25156736721142936,0.25142927169501156,0.9034791137224146,0.7520156217704456,940957,0,0,0,0,0,0,10789962.918000001,100000000,100000000,100000001,100000003
PARA,32,Mix43,0.17432765914880446,0.17405511445048763,0.6655139056400586,0.578697327932876,1645027,0,0,0,0,0,0,15328887.609750003,100000001,100000001,100000001,100000003
PARA,20,Mix43,0.14135005623986566,0.14186960093781253,0.5528429909059817,0.49220121230237796,2194562,0,0,0,0,0,0,18773764.4653125,100000000,100000001,100000001,100000003
PRAC-4,1024,Mix43,0.6466628205317644,0.6462449160801547,1.6245196843616767,1.5399700445035929,0,0,0,0,0,0,0,4759358.689375,100000000,100000001,100000001,100000003
PRAC-4,512,Mix43,0.645954199302668,0.6462114195146463,1.6245196843616767,1.5399700445035929,0,0,0,0,0,0,0,4762685.3294375,100000001,100000001,100000001,100000003
PRAC-4,256,Mix43,0.6455446545084744,0.6455388787115024,1.6272436149971587,1.535451179033771,0,0,0,0,0,0,0,4775200.141875001,100000001,100000001,100000001,100000003
PRAC-4,128,Mix43,0.644631393133389,0.6448674327652999,1.6323363643207578,1.534564593243871,0,0,0,0,0,0,0,4763427.506562501,100000001,100000001,100000001,100000003
PRAC-4,64,Mix43,0.6313437442462883,0.630146495384533,1.6018725409254402,1.5051572027527218,0,0,0,0,0,0,0,4837624.9481875,100000001,100000001,100000001,100000003
PRAC-4,32,Mix43,0.5026107107889439,0.5027552015417129,1.3358709850013883,1.2174063117913576,0,0,0,0,0,0,0,5596501.889687501,100000001,100000001,100000001,100000003
PRAC-4,20,Mix43,0.059526171501011714,0.059123633110467054,0.2757146902428752,0.1789980777647603,0,0,0,0,0,0,0,33543376.890562505,100000001,100000001,100000001,100000003
PRAC-2,1024,Mix43,0.6466628205317644,0.6462449160801547,1.6245196843616767,1.5399700445035929,0,0,0,0,0,0,0,4759358.689375,100000000,100000001,100000001,100000003
PRAC-2,512,Mix43,0.6460755372265075,0.6460103168750988,1.6245196843616767,1.5399700445035929,0,0,0,0,0,0,0,4768337.49075,100000000,100000001,100000001,100000003
PRAC-2,256,Mix43,0.6454777641110055,0.6454751642782687,1.624076442548938,1.5380470454432442,0,0,0,0,0,0,0,4763499.885375001,100000001,100000001,100000001,100000003
PRAC-2,128,Mix43,0.6450548335951417,0.6452728207328685,1.6286653336909664,1.5387165617859537,0,0,0,0,0,0,0,4763261.616687501,100000001,100000001,100000001,100000003
PRAC-2,64,Mix43,0.6286934917479987,0.6287375128172856,1.60100201271567,1.5050780051052546,0,0,0,0,0,0,0,4845664.872750001,100000000,100000001,100000001,100000003
PRAC-2,32,Mix43,0.4856096548716372,0.4861397877541904,1.3139747148694607,1.187134132690869,0,0,0,0,0,0,0,5741823.1724375,100000001,100000001,100000001,100000003
PRAC-2,20,Mix43,0.10071713347897641,0.10097594420418352,0.4262364535449753,0.3059318073922294,0,0,0,0,0,0,0,20627424.399625,100000001,100000001,100000001,100000003
PRAC-1,1024,Mix43,0.6466628205317644,0.6462449160801547,1.6245196843616767,1.5399700445035929,0,0,0,0,0,0,0,4759358.689375,100000000,100000001,100000001,100000003
PRAC-1,512,Mix43,0.6459969959977192,0.6450281504795188,1.6245196843616767,1.5399700445035929,0,0,0,0,0,0,0,4774656.2645625,100000001,100000001,100000001,100000003
PRAC-1,256,Mix43,0.6452270225126352,0.6463755236207267,1.6173305277393126,1.539678119828895,0,0,0,0,0,0,0,4768950.409624999,100000001,100000001,100000001,100000003
PRAC-1,128,Mix43,0.6454751767774145,0.643986772923968,1.624262917616671,1.5371217347192965,0,0,0,0,0,0,0,4774917.9158125,100000001,100000001,100000001,100000003
PRAC-1,64,Mix43,0.6215220581563529,0.6210434201322861,1.5777563774411008,1.4906400848579637,0,0,0,0,0,0,0,4877015.3884375,100000001,100000001,100000001,100000003
PRAC-1,32,Mix43,0.1710063284208722,0.17120839005474373,0.6515997581887257,0.5158071680956605,0,0,0,0,0,0,0,13105409.0320625,100000001,100000001,100000001,100000003
PRAC-1,20,Mix43,0.1710063284208722,0.17120839005474373,0.6515997581887257,0.5158071680956605,0,0,0,0,0,0,0,13105409.0320625,100000001,100000001,100000001,100000003
