,mitigation,tRH,trace,ipc_0,VRR,RFM,RRS_reswap,RRS_unswap,RRS_swap,AQUA_migrate,AQUA_r_migrate,total_energy,insn_0,aipc_0,soa_0,aos_0,weighted_speedup,harmonic_speedup,max_slowdown,min_insn,weighted_speedup_base,harmonic_speedup_base,max_slowdown_base,total_energy_base,norm_weighted_speedup,norm_harmonic_speedup,norm_max_slowdown,norm_energy
0,Chronus,1024,523.xalancbmk,2.1132167930912686,0,0,0,0,0,0,0,1187317.2150286655,100000001,2.1132167930912686,1.0,1.0,1.0,1.0,0.0,100000001,1.0,1.0,0.0,1104214.677332853,1.0,1.0,,1.0752594032679772
1,Chronus,512,523.xalancbmk,2.1132167930912686,0,0,0,0,0,0,0,1187317.2150286655,100000001,2.1132167930912686,1.0,1.0,1.0,1.0,0.0,100000001,1.0,1.0,0.0,1104214.677332853,1.0,1.0,,1.0752594032679772
2,Chronus,256,523.xalancbmk,2.113114131976782,0,0,0,0,0,0,0,1187551.7346018513,100000001,2.1132167930912686,0.9999514195065918,1.0000485828535872,0.9999514195065918,0.9999514195065918,4.8580493408167946e-05,100000001,1.0,1.0,0.0,1104214.677332853,0.9999514195065918,0.9999514195065918,inf,1.0754717891183014
3,Chronus,128,523.xalancbmk,2.110945310431604,0,0,0,0,0,0,0,1188745.6495908124,100000001,2.1132167930912686,0.9989251066586775,1.001076049980281,0.9989251066586775,0.9989251066586776,0.0010748933413224915,100000001,1.0,1.0,0.0,1104214.677332853,0.9989251066586775,0.9989251066586776,inf,1.076553023604194
4,Chronus,64,523.xalancbmk,2.105720053702599,0,0,0,0,0,0,0,1191319.3000159503,100000001,2.1132167930912686,0.9964524513466018,1.003560178560055,0.9964524513466018,0.9964524513466017,0.003547548653398236,100000001,1.0,1.0,0.0,1104214.677332853,0.9964524513466018,0.9964524513466017,inf,1.0788837754751568
5,Chronus,32,523.xalancbmk,2.0798504712317167,0,0,0,0,0,0,0,1199686.2266836378,100000001,2.1132167930912686,0.9842106489175004,1.0160426541816692,0.9842106489175004,0.9842106489175003,0.01578935108249957,100000001,1.0,1.0,0.0,1104214.677332853,0.9842106489175004,0.9842106489175003,inf,1.0864610399685948
6,Chronus,20,523.xalancbmk,2.0233576198969376,0,0,0,0,0,0,0,1220430.4738056578,100000001,2.1132167930912686,0.9574775415905707,1.0444109199039704,0.9574775415905707,0.9574775415905706,0.042522458409429253,100000001,1.0,1.0,0.0,1104214.677332853,0.9574775415905707,0.9574775415905706,inf,1.1052474657858338
7,Chronus+PB,1024,523.xalancbmk,2.1132167930912686,0,0,0,0,0,0,0,1187317.2150286655,100000001,2.1132167930912686,1.0,1.0,1.0,1.0,0.0,100000001,1.0,1.0,0.0,1104214.677332853,1.0,1.0,,1.0752594032679772
8,Chronus+PB,512,523.xalancbmk,2.1132167930912686,0,0,0,0,0,0,0,1187317.2150286655,100000001,2.1132167930912686,1.0,1.0,1.0,1.0,0.0,100000001,1.0,1.0,0.0,1104214.677332853,1.0,1.0,,1.0752594032679772
9,Chronus+PB,256,523.xalancbmk,2.1124761063111195,0,0,0,0,0,0,0,1187655.6303271127,100000001,2.1132167930912686,0.999649497967946,1.0003506249268033,0.999649497967946,0.9996494979679461,0.0003505020320540009,100000001,1.0,1.0,0.0,1104214.677332853,0.999649497967946,0.9996494979679461,inf,1.07556587926888
10,Chronus+PB,128,523.xalancbmk,2.110257158044965,0,0,0,0,0,0,0,1188862.2315675528,100000001,2.1132167930912686,0.9985994645433541,1.0014024997072137,0.9985994645433541,0.9985994645433541,0.0014005354566458683,100000001,1.0,1.0,0.0,1104214.677332853,0.9985994645433541,0.9985994645433541,inf,1.0766586026905198
