mitigation,tRH,trace,ipc_0,VRR,RFM,RRS_reswap,RRS_unswap,RRS_swap,AQUA_migrate,AQUA_r_migrate,total_energy,insn_0
Chronus,1024,523.xalancbmk,2.1132167930912686,0,0,0,0,0,0,0,1187317.2269018376,100000001
Chronus,512,523.xalancbmk,2.1132167930912686,0,0,0,0,0,0,0,1187317.2269018376,100000001
Chronus,256,523.xalancbmk,2.113114131976782,0,0,0,0,0,0,0,1187551.7464773688,100000001
Chronus,128,523.xalancbmk,2.1109453104316036,0,0,0,0,0,0,0,1188745.6614782687,100000001
Chronus,64,523.xalancbmk,2.105720053702599,0,0,0,0,0,0,0,1191319.3119291437,100000001
Chronus,32,523.xalancbmk,2.0798504712317167,0,0,0,0,0,0,0,1199686.2386805,100000001
Chronus,20,523.xalancbmk,2.0233576198969376,0,0,0,0,0,0,0,1220430.4860099626,100000001
Chronus+PB,1024,523.xalancbmk,2.1132167930912686,0,0,0,0,0,0,0,1187317.2269018376,100000001
Chronus+PB,512,523.xalancbmk,2.1132167930912686,0,0,0,0,0,0,0,1187317.2269018376,100000001
Chronus+PB,256,523.xalancbmk,2.1124761063111195,0,0,0,0,0,0,0,1187655.642203669,100000001
Chronus+PB,128,523.xalancbmk,2.110257158044965,0,0,0,0,0,0,0,1188862.243456175,100000001
Chronus+PB,64,523.xalancbmk,2.0569997293399784,0,0,0,0,0,0,0,1209939.6984375813,100000001
Chronus+PB,32,523.xalancbmk,1.793283818615656,0,0,0,0,0,0,0,1331849.6246173126,100000001
Chronus+PB,20,523.xalancbmk,0.7929553797192878,0,0,0,0,0,0,0,2570558.8557681874,100000001
Graphene,1024,523.xalancbmk,2.1132167930912686,0,0,0,0,0,0,0,1104214.688375,100000001
Graphene,512,523.xalancbmk,2.1131985732528658,9,0,0,0,0,0,0,1104298.8865,100000001
Graphene,256,523.xalancbmk,2.1046109267904574,230,0,0,0,0,0,0,1109109.876125,100000001
Graphene,128,523.xalancbmk,2.0885629417258365,735,0,0,0,0,0,0,1117273.15875,100000001
Graphene,64,523.xalancbmk,2.0544962732670675,1886,0,0,0,0,0,0,1135761.2658125,100000001
Graphene,32,523.xalancbmk,1.9812994851831096,4343,0,0,0,0,0,0,1177800.33275,100000001
Graphene,20,523.xalancbmk,1.900368091793859,7409,0,0,0,0,0,0,1227577.292625,100000001
Hydra,1024,523.xalancbmk,2.1289327881448763,0,0,0,0,0,0,0,1096684.7590625002,100000001
Hydra,512,523.xalancbmk,2.1275091310563483,16,0,0,0,0,0,0,1097515.2575,100000001
Hydra,256,523.xalancbmk,2.1173994439073898,221,0,0,0,0,0,0,1102421.8345,100000001
Hydra,128,523.xalancbmk,2.098582529233464,723,0,0,0,0,0,0,1112933.3275625,100000001
Hydra,64,523.xalancbmk,2.060383047868982,1849,0,0,0,0,0,0,1133835.4125625002,100000001
Hydra,32,523.xalancbmk,1.9841827106852306,4238,0,0,0,0,0,0,1176863.8455,100000001
Hydra,20,523.xalancbmk,1.9050592582011752,7278,0,0,0,0,0,0,1225795.3169375001,100000001
PARA,1024,523.xalancbmk,2.03005111019028,2805,0,0,0,0,0,0,1149510.3281875001,100000001
PARA,512,523.xalancbmk,1.9588028698028799,5494,0,0,0,0,0,0,1191194.651875,100000001
PARA,256,523.xalancbmk,1.8288119554849618,10840,0,0,0,0,0,0,1275869.464625,100000001
PARA,128,523.xalancbmk,1.6370944010668094,20970,0,0,0,0,0,0,1425541.7193125002,100000001
